date,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin
2022-01-19,1,1,na,initial group formation,na,na,na
2022-01-20,na,2,na,initial group formation,na,na,1
2022-01-21,na,3,na,initial group formation,na,na,1
2022-01-22,na,4,na,initial group formation,na,na,1
2022-01-23,na,5,na,initial group formation,na,na,1
2022-01-24,na,6,na,initial group formation,na,na,1
2022-01-25,na,7,na,initial group formation,na,na,na
2022-01-26,na,8,1,initial group formation,na,top-ranked,2
2022-01-27,na,9,1,initial group formation,na,top-ranked,2
2022-01-28,na,10,1,initial group formation,na,top-ranked,2
2022-01-29,2,11,1,perturbation,top-ranked,na,na
2022-01-30,na,12,1,removal,top-ranked,top-ranked,3
2022-01-31,na,13,1,removal,top-ranked,top-ranked,3
2022-02-01,na,14,1,removal,top-ranked,top-ranked,3
2022-02-02,na,15,1,removal,top-ranked,top-ranked,3
2022-02-03,na,16,1,na,top-ranked,na,na
2022-02-04,na,17,1,removal,top-ranked,top-ranked,4
2022-02-05,na,18,1,removal,top-ranked,top-ranked,4
2022-02-06,na,19,1,removal,top-ranked,top-ranked,4
2022-02-07,focal_1,20,1,reintroduction,top-ranked,top-ranked,5
2022-02-08,na,21,1,reintroduction,top-ranked,top-ranked,5
2022-02-09,na,22,1,reintroduction,top-ranked,top-ranked,5
2022-02-10,na,23,1,na,top-ranked,na,na
2022-02-11,na,24,1,na,top-ranked,na,na
2022-02-12,na,25,2,reintroduction,top-ranked,middle-ranked,6
2022-02-13,na,26,2,reintroduction,top-ranked,middle-ranked,6
2022-02-14,na,27,2,reintroduction,top-ranked,middle-ranked,6
2022-02-15,3,28,2,perturbation,middle-ranked,na,na
2022-02-16,na,29,2,removal,middle-ranked,middle-ranked,7
2022-02-17,na,30,2,removal,middle-ranked,middle-ranked,7
2022-02-18,na,31,2,removal,middle-ranked,middle-ranked,7
2022-02-19,na,32,2,na,middle-ranked,na,na
2022-02-20,na,33,2,na,middle-ranked,na,na
2022-02-21,na,34,2,removal,middle-ranked,middle-ranked,8
2022-02-22,na,35,2,removal,middle-ranked,middle-ranked,8
2022-02-23,na,36,2,removal,middle-ranked,middle-ranked,8
2022-02-24,focal_2,37,2,reintroduction,middle-ranked,middle-ranked,9
2022-02-25,na,38,2,reintroduction,middle-ranked,middle-ranked,9
2022-02-26,na,39,2,reintroduction,middle-ranked,middle-ranked,9
2022-02-27,na,40,2,na,middle-ranked,na,na
2022-02-28,na,41,2,na,middle-ranked,na,na
2022-03-01,na,42,3,reintroduction,middle-ranked,middle-ranked,10
2022-03-02,na,43,3,reintroduction,middle-ranked,middle-ranked,10
2022-03-03,na,44,3,reintroduction,middle-ranked,middle-ranked,10
2022-03-04,4,45,3,perturbation,middle-ranked,na,na
2022-03-05,na,46,3,removal,middle-ranked,middle-ranked,11
2022-03-06,na,47,3,removal,middle-ranked,middle-ranked,11
2022-03-07,na,48,3,removal,middle-ranked,middle-ranked,11
2022-03-08,na,49,3,na,middle-ranked,na,na
2022-03-09,na,50,3,na,middle-ranked,na,na
2022-03-10,na,51,3,removal,middle-ranked,middle-ranked,12
2022-03-11,na,52,3,removal,middle-ranked,middle-ranked,12
2022-03-12,na,53,3,removal,middle-ranked,middle-ranked,12
2022-03-13,na,54,3,removal,middle-ranked,middle-ranked,12
2022-03-14,focal_3,55,3,reintroduction,middle-ranked,middle-ranked,13
2022-03-15,na,56,3,reintroduction,middle-ranked,middle-ranked,13
2022-03-16,na,57,3,reintroduction,middle-ranked,middle-ranked,13
2022-03-17,na,58,3,na,middle-ranked,na,na
2022-03-18,na,59,3,na,middle-ranked,na,na
2022-03-19,na,60,4,reintroduction,middle-ranked,top-ranked,14
2022-03-20,na,61,4,reintroduction,middle-ranked,top-ranked,14
2022-03-21,na,62,4,reintroduction,middle-ranked,top-ranked,14
2022-03-22,5,63,4,perturbation,top-ranked,na,na
2022-03-23,na,64,4,removal,top-ranked,top-ranked,15
2022-03-24,na,65,4,removal,top-ranked,top-ranked,15
2022-03-25,na,66,4,removal,top-ranked,top-ranked,15
2022-03-26,na,67,4,na,top-ranked,na,na
2022-03-27,na,68,4,na,top-ranked,na,na
2022-03-28,na,69,4,removal,top-ranked,top-ranked,16
2022-03-29,na,70,4,removal,top-ranked,top-ranked,16
2022-03-30,na,71,4,removal,top-ranked,top-ranked,16
2022-03-31,focal_4,72,4,reintroduction,top-ranked,top-ranked,17
2022-04-01,na,73,4,reintroduction,top-ranked,top-ranked,17
2022-04-02,na,74,4,reintroduction,top-ranked,top-ranked,17
2022-04-03,na,75,4,na,top-ranked,na,na
2022-04-04,na,76,4,na,top-ranked,na,na
2022-04-05,na,77,5,reintroduction,top-ranked,bottom-ranked,18
2022-04-06,na,78,5,reintroduction,top-ranked,bottom-ranked,18
2022-04-07,na,79,5,reintroduction,top-ranked,bottom-ranked,18
2022-04-08,6,80,5,perturbation,bottom-ranked,na,na
2022-04-09,na,81,5,removal,bottom-ranked,bottom-ranked,19
2022-04-10,na,82,5,removal,bottom-ranked,bottom-ranked,19
2022-04-11,na,83,5,removal,bottom-ranked,bottom-ranked,19
2022-04-12,na,84,5,na,bottom-ranked,na,na
2022-04-13,na,85,5,na,bottom-ranked,na,na
2022-04-14,na,86,5,removal,bottom-ranked,bottom-ranked,20
2022-04-15,na,87,5,removal,bottom-ranked,bottom-ranked,20
2022-04-16,na,88,5,removal,bottom-ranked,bottom-ranked,20
2022-04-17,focal_5,89,5,reintroduction,bottom-ranked,bottom-ranked,21
2022-04-18,na,90,5,reintroduction,bottom-ranked,bottom-ranked,21
2022-04-19,na,91,5,reintroduction,bottom-ranked,bottom-ranked,21
2022-04-20,na,92,5,na,bottom-ranked,na,na
2022-04-21,na,93,5,na,bottom-ranked,na,na
2022-04-22,na,94,6,reintroduction,bottom-ranked,top-ranked,22
2022-04-23,na,95,6,reintroduction,bottom-ranked,top-ranked,22
2022-04-24,na,96,6,reintroduction,bottom-ranked,top-ranked,22
2022-04-25,7,97,6,perturbation,top-ranked,na,na
2022-04-26,na,98,6,removal,top-ranked,top-ranked,23
2022-04-27,na,99,6,removal,top-ranked,top-ranked,23
2022-04-28,na,100,6,removal,top-ranked,top-ranked,23
2022-04-29,na,101,6,na,top-ranked,na,na
2022-04-30,na,102,6,na,top-ranked,na,na
2022-05-01,na,103,6,removal,top-ranked,top-ranked,24
2022-05-02,na,104,6,removal,top-ranked,top-ranked,24
2022-05-03,na,105,6,removal,top-ranked,top-ranked,24
2022-05-04,focal_6,106,6,reintroduction,top-ranked,top-ranked,25
2022-05-05,na,107,6,reintroduction,top-ranked,top-ranked,25
2022-05-06,na,108,6,reintroduction,top-ranked,top-ranked,25
2022-05-07,na,109,6,na,top-ranked,na,na
2022-05-08,na,110,6,na,top-ranked,na,na
2022-05-09,na,111,7,reintroduction,top-ranked,stranger,26
2022-05-10,na,112,7,reintroduction,top-ranked,stranger,26
2022-05-11,na,113,7,reintroduction,top-ranked,stranger,26
2022-05-12,8,114,7,na,na,na,na
2022-05-13,na,115,7,introduction,stranger,stranger,27
2022-05-14,na,116,7,introduction,stranger,stranger,27
2022-05-15,na,117,7,introduction,stranger,stranger,27
2022-05-16,na,118,7,introduction,stranger,stranger,28
2022-05-17,na,119,7,introduction,stranger,stranger,28
2022-05-18,na,120,7,na,na,na,na
2022-05-19,na,121,7,introduction,stranger,stranger,29
2022-05-20,na,122,7,introduction,stranger,stranger,29
2022-05-21,na,123,7,introduction,stranger,stranger,29
2022-05-22,na,124,7,introduction,stranger,stranger,29
2022-05-23,na,125,7,na,na,na,na
2022-05-24,na,126,7,introduction,stranger,stranger,30
2022-05-25,na,127,7,introduction,stranger,stranger,30
2022-05-26,na,128,7,introduction,stranger,stranger,30
2022-05-27,na,129,7,introduction,stranger,stranger,30
