date,event ,comments,julian_day,capture,total_obs_day,perturbation,experiment,focal_bird,dompattern_focal,bin,westFP_out,westFP_in,eastFP_in,eastFP_out,east_out_one,playback_trial
2022-01-07,arrival Florida,,,,,,,,,,,,,,,
2022-01-08,arrival Florida,,,,,,,,,,,,,,,
2022-01-09,start fieldwork,check flight pens,1,,,,,,,,,,,,,
2022-01-10,bird health check; setup flight pens,,2,0,,,,,,,,,,,,
2022-01-11,setup flight pens,,3,,,,,,,,,,,,,
2022-01-12,vocalizations + setup flight pens,"perches, gopros, feeders, shadecloths",4,,,,,,,,,,,,,
2022-01-13,setup flight pen,"gopros, animal care",5,,,,,,,,,,,,,
2022-01-14,test run of old captives + vocalizations + gopros,,6,,,,,,,,,,,,,
2022-01-15,test run of old captives + vocalizations + gopros,casualty of 1 old captive,7,,,,,,,,,,,,,
2022-01-16,setup side shade cloths,,8,,,,,,,,,,,,,
2022-01-17,day off,,9,,,,,,,,,,,,,
2022-01-18,setup cover flight pen + vocalizations + marking new captives,,10,,,,,,,,,,,,,
2022-01-19,introduce new captures + observations,,11,1,1,,initial group formation,,,,Annemarie,Chelsea,Claire,Xavier,Annemarie,
2022-01-20,observations,,12,,2,,initial group formation,,,1,Claire,Xavier,Annemarie,Chelsea,,
2022-01-21,observations,,13,,3,,initial group formation,,,1,Xavier,Annemarie,Chelsea,Claire,,
2022-01-22,observations,,14,,4,,initial group formation,,,1,Xavier,Annemarie,Chelsea,Claire,,
2022-01-23,half day off,only observing group 2 as we pulled BB1253 and replaced it with BB1159,15,,5,,initial group formation,,,1,,,Claire/Chelsea,Annemarie/Xavier,,
2022-01-24,observations,later start (too cold in the morning),16,,6,,initial group formation,,,1,Claire,Xavier,Annemarie,Chelsea,,
2022-01-25,day off,,17,,7,,initial group formation,,,,,,,,,
2022-01-26,observations,later start (rain in the morning),18,,8,1,initial group formation,,top-ranked,2,Annemarie,Chelsea,Claire,Xavier,,
2022-01-27,observations,,19,,9,1,initial group formation,,top-ranked,2,Chelsea,Claire,Xavier,Annemarie,,
2022-01-28,observations,,20,,10,1,initial group formation,,top-ranked,2,Claire,Xavier,Annemarie,Chelsea,,
2022-01-29,perturbation + observations,,21,2,11,1,perturbation,top-ranked,,,Xavier,Annemarie,Chelsea,Claire,,
2022-01-30,observations,,22,,12,1,removal,top-ranked,top-ranked,3,Annemarie,Chelsea,Claire,Xavier,,
2022-01-31,observations,Darby and Nickolas arrive,23,,13,1,removal,top-ranked,top-ranked,3,Chelsea,Claire,Xavier,Annemarie,,
2022-02-01,observations,1st time in the field for Darby and Nico,24,,14,1,removal,top-ranked,top-ranked,3,Annemarie,Chelsea,Claire,Xavier,,1.1
2022-02-02,half day off,,25,,15,1,removal,top-ranked,top-ranked,3,Chelsea,Claire,Xavier,Annemarie,,
2022-02-03,day off,,26,,16,1,,top-ranked,,,,,,,,
2022-02-04,observations,,27,,17,1,removal,top-ranked,top-ranked,4,Xavier,Annemarie,Chelsea,Claire,,
2022-02-05,observations,,28,,18,1,removal,top-ranked,top-ranked,4,Claire,Xavier,Annemarie,Chelsea,,
2022-02-06,observations,,29,,19,1,removal,top-ranked,top-ranked,4,Chelsea,Claire,Xavier,Annemarie,,1.2
2022-02-07,perturbation + observations,Darby and Nico collect data for real,30,focal_1,20,1,reintroduction,top-ranked,top-ranked,5,,,,,,
2022-02-08,observations,,31,,21,1,reintroduction,top-ranked,top-ranked,5,,,,,,
2022-02-09,observations,,32,,22,1,reintroduction,top-ranked,top-ranked,5,,,,,,
2022-02-10,day off,,33,,23,1,,top-ranked,,,,,,,,
2022-02-11,day off,,34,,24,1,,top-ranked,,,,,,,,
2022-02-12,observations,training Darby and Nico focal follows,35,,25,2,reintroduction,top-ranked,middle-ranked,6,,,,,,
2022-02-13,observations,training Darby and Nico focal follows,36,,26,2,reintroduction,top-ranked,middle-ranked,6,,,,,,
2022-02-14,observations,training Darby and Nico focal follows,37,,27,2,reintroduction,top-ranked,middle-ranked,6,,,,,,
2022-02-15,perturbation + observations,,38,3,28,2,perturbation,middle-ranked,,,,,,,,
2022-02-16,observations,training Darby and Nico focal follows,39,,29,2,removal,middle-ranked,middle-ranked,7,,,,,,
2022-02-17,observations,training Darby and Nico focal follows,40,,30,2,removal,middle-ranked,middle-ranked,7,,,,,,
2022-02-18,observations,training Darby and Nico focal follows,41,,31,2,removal,middle-ranked,middle-ranked,7,,,,,,2.1
2022-02-19,day off,,42,,32,2,,middle-ranked,,,,,,,,
2022-02-20,day off,,43,,33,2,,middle-ranked,,,,,,,,
2022-02-21,observations,,44,,34,2,removal,middle-ranked,middle-ranked,8,,,,,,
2022-02-22,observations + vocalizations,recording vocalizations of old captives by Claire,45,,35,2,removal,middle-ranked,middle-ranked,8,Nico,,,Darby,,
2022-02-23,observations,,46,,36,2,removal,middle-ranked,middle-ranked,8,,,,,,2.2
2022-02-24,perturbation + observations,Xavier absent due to health reasons,47,focal_2,37,2,reintroduction,middle-ranked,middle-ranked,9,,,,,,
2022-02-25,observations,Xavier absent due to health reasons,48,,38,2,reintroduction,middle-ranked,middle-ranked,9,,,,,,
2022-02-26,observations,Xavier absent due to health reasons,49,,39,2,reintroduction,middle-ranked,middle-ranked,9,,,,,,
2022-02-27,day off,,50,,40,2,,middle-ranked,,,,,,,,
2022-02-28,day off,,51,,41,2,,middle-ranked,,,,,,,,
2022-03-01,observations,Chelsea day off,52,,42,3,reintroduction,middle-ranked,middle-ranked,10,,,,,,
2022-03-02,observations,Annemarie day off,53,,43,3,reintroduction,middle-ranked,middle-ranked,10,,,,,,
2022-03-03,observations,Claire day off,54,,44,3,reintroduction,middle-ranked,middle-ranked,10,,,,,,
2022-03-04,perturbation + observations,,55,4,45,3,perturbation,middle-ranked,,,,,,,,
2022-03-05,observations,Annemarie leaves,56,,46,3,removal,middle-ranked,middle-ranked,11,,,,,,
2022-03-06,observations,,57,,47,3,removal,middle-ranked,middle-ranked,11,,,,,,
2022-03-07,observations,,58,,48,3,removal,middle-ranked,middle-ranked,11,,,,,,
2022-03-08,day off,,59,,49,3,,middle-ranked,,,,,,,,
2022-03-09,day off,,60,,50,3,,middle-ranked,,,,,,,,
2022-03-10,observations,,61,,51,3,removal,middle-ranked,middle-ranked,12,,,,,,
2022-03-11,observations,storm hits,62,,52,3,removal,middle-ranked,middle-ranked,12,,,,,,
2022-03-12,observations,thunder and rain,63,,53,3,removal,middle-ranked,middle-ranked,12,,,,,,
2022-03-13,observations,,64,,54,3,removal,middle-ranked,middle-ranked,12,,,,,,
2022-03-14,perturbation + observations,,65,focal_3,55,3,reintroduction,middle-ranked,middle-ranked,13,,,,,,
2022-03-15,observations,,66,,56,3,reintroduction,middle-ranked,middle-ranked,13,,,,,,
2022-03-16,observations,,67,,57,3,reintroduction,middle-ranked,middle-ranked,13,,,,,,
2022-03-17,day off,,68,,58,3,,middle-ranked,,,,,,,,
2022-03-18,day off,,69,,59,3,,middle-ranked,,,,,,,,
2022-03-19,observations,,70,,60,4,reintroduction,middle-ranked,top-ranked,14,,,,,,
2022-03-20,observations,,71,,61,4,reintroduction,middle-ranked,top-ranked,14,,,,,,
2022-03-21,observations,,72,,62,4,reintroduction,middle-ranked,top-ranked,14,,,,,,
2022-03-22,perturbation + observations,,73,5,63,4,perturbation,top-ranked,,,,,,,,
2022-03-23,observations,,74,,64,4,removal,top-ranked,top-ranked,15,,,,,,
2022-03-24,observations,,75,,65,4,removal,top-ranked,top-ranked,15,,,,,,
2022-03-25,observations,,76,,66,4,removal,top-ranked,top-ranked,15,,,,,,
2022-03-26,day off,,77,,67,4,,top-ranked,,,,,,,,
2022-03-27,day off,,78,,68,4,,top-ranked,,,,,,,,
2022-03-28,observations,,79,,69,4,removal,top-ranked,top-ranked,16,,,,,,
2022-03-29,observations,,80,,70,4,removal,top-ranked,top-ranked,16,,,,,,
2022-03-30,observations,,81,,71,4,removal,top-ranked,top-ranked,16,,,,,,
2022-03-31,perturbation + observations,,82,focal_4,72,4,reintroduction,top-ranked,top-ranked,17,,,,,,
2022-04-01,observations,,83,,73,4,reintroduction,top-ranked,top-ranked,17,,,,,,
2022-04-02,observations,,84,,74,4,reintroduction,top-ranked,top-ranked,17,,,,,,
2022-04-03,day off,,85,,75,4,,top-ranked,,,,,,,,
2022-04-04,day off,,86,,76,4,,top-ranked,,,,,,,,
2022-04-05,observations,,87,,77,5,reintroduction,top-ranked,bottom-ranked,18, ,,,,,
2022-04-06,observations,,88,,78,5,reintroduction,top-ranked,bottom-ranked,18,,,,,,
2022-04-07,observations,,89,,79,5,reintroduction,top-ranked,bottom-ranked,18,,,,,,
2022-04-08,perturbation + observations,,90,6,80,5,perturbation,bottom-ranked,,,,,,,,
2022-04-09,observations,,91,,81,5,removal,bottom-ranked,bottom-ranked,19,,,,,,
2022-04-10,observations,,92,,82,5,removal,bottom-ranked,bottom-ranked,19,,,,,,
2022-04-11,observations,,93,,83,5,removal,bottom-ranked,bottom-ranked,19,,,,,,
2022-04-12,day off,,94,,84,5,,bottom-ranked,,,,,,,,
2022-04-13,day off,,95,,85,5,,bottom-ranked,,,,,,,,
2022-04-14,observations,,96,,86,5,removal,bottom-ranked,bottom-ranked,20,,,,,,
2022-04-15,observations,,97,,87,5,removal,bottom-ranked,bottom-ranked,20,,,,,,
2022-04-16,observations,,98,,88,5,removal,bottom-ranked,bottom-ranked,20,,,,,,
2022-04-17,perturbation + observations,,99,focal_5,89,5,reintroduction,bottom-ranked,bottom-ranked,21,,,,,,
2022-04-18,observations,,100,,90,5,reintroduction,bottom-ranked,bottom-ranked,21,,,,,,
2022-04-19,observations,,101,,91,5,reintroduction,bottom-ranked,bottom-ranked,21,,,,,,
2022-04-20,day off,,102,,92,5,,bottom-ranked,,,,,,,,
2022-04-21,day off,,103,,93,5,,bottom-ranked,,,,,,,,
2022-04-22,observations,,104,,94,6,reintroduction,bottom-ranked,top-ranked,22,,,,,,
2022-04-23,observations,,105,,95,6,reintroduction,bottom-ranked,top-ranked,22,,,,,,
2022-04-24,observations,,106,,96,6,reintroduction,bottom-ranked,top-ranked,22,,,,,,
2022-04-25,perturbation + observations,,107,7,97,6,perturbation,top-ranked,,,,,,,,
2022-04-26,observations,,108,,98,6,removal,top-ranked,top-ranked,23,,,,,,
2022-04-27,observations,,109,,99,6,removal,top-ranked,top-ranked,23,,,,,,
2022-04-28,observations,,110,,100,6,removal,top-ranked,top-ranked,23,,,,,,
2022-04-29,day off,,111,,101,6,,top-ranked,,,,,,,,
2022-04-30,day off,,112,,102,6,,top-ranked,,,,,,,,
2022-05-01,observations,Darby emergency off,113,,103,6,removal,top-ranked,top-ranked,24,,,,,,
2022-05-02,observations,Darby emergency off,114,,104,6,removal,top-ranked,top-ranked,24,,,,,,
2022-05-03,observations,Darby emergency off; Annemarie in the field,115,,105,6,removal,top-ranked,top-ranked,24,,,,,,
2022-05-04,perturbation + observations,Darby emergency off,116,focal_6,106,6,reintroduction,top-ranked,top-ranked,25,,,,,,
2022-05-05,observations,Darby emergency off,117,,107,6,reintroduction,top-ranked,top-ranked,25,,,,,,
2022-05-06,observations,Darby emergency off,118,,108,6,reintroduction,top-ranked,top-ranked,25,,,,,,
2022-05-07,day off,Darby emergency off: Annemarie leaves the field,119,,109,6,,top-ranked,,,,,,,,
2022-05-08,day off,Darby emergency off,120,,110,6,,top-ranked,,,,,,,,
2022-05-09,observations,Darby emergency off,121,,111,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-10,observations,Darby emergency off,122,,112,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-11,observations,,123,,113,7,reintroduction,top-ranked,stranger,26,,,,,,
2022-05-12,"trapping, half day off",,124,8,114,7,,,,,,,,,,
2022-05-13,perturbation + observations,,125,,115,7,introduction,stranger,stranger,27,,,,,,
2022-05-14,observations,Darby absent for job interview,126,,116,7,introduction,stranger,stranger,27,,,,,,
2022-05-15,observations,Darby absent for job interview,127,,117,7,introduction,stranger,stranger,27,,,,,,
2022-05-16,,Darby absent for job interview,128,,118,7,introduction,stranger,stranger,28,,,,,,
2022-05-17,,,129,,119,7,introduction,stranger,stranger,28,,,,,,
2022-05-18,,,130,,120,7,,,,,,,,,,
2022-05-19,,,131,,121,7,introduction,stranger,stranger,29,,,,,,
2022-05-20,,,132,,122,7,introduction,stranger,stranger,29,,,,,,
2022-05-21,,,133,,123,7,introduction,stranger,stranger,29,,,,,,
2022-05-22,,,134,,124,7,introduction,stranger,stranger,29,,,,,,
2022-05-23,,,135,,125,7,,,,,,,,,,
2022-05-24,,,136,,126,7,introduction,stranger,stranger,30,,,,,,
2022-05-25,,,137,,127,7,introduction,stranger,stranger,30,,,,,,
2022-05-26,,,138,,128,7,introduction,stranger,stranger,30,,,,,,
2022-05-27,,,139,,129,7,introduction,stranger,stranger,30,,,,,,
2022-05-28,,,140,,130,,,,,,,,,,,
2022-05-29,vocalizations,rolling day off,141,,131,,,,,,,,,,,
2022-05-30,vocalizations,rolling day off,142,,132,,,,,,,,,,,
2022-05-31,vocalizations,rolling day off,143,,133,,,,,,,,,,,
2022-06-01,vocalizations,rolling day off,144,,134,,,,,,,,,,,
2022-06-02,,,145,,135,,,,,,,,,,,
